"total","fecha_hora_venta","servicio"
730.55,"2023-01-28 17:42:02",acrilicio escultural
702.05,"2023-01-28 17:50:47",acrilico manos
370.00,"2023-01-28 17:51:41",acrilico retoque 
370.00,"2023-01-28 17:51:41",gel en manos
400.00,"2023-01-28 17:57:51",acrilico retoque 
400.00,"2023-01-28 17:57:51",gel en manos
45.00,"2023-01-28 18:01:22",mani de niña
171.00,"2023-01-28 18:03:42",calcio en manos 
340.00,"2023-01-28 18:05:10",Gel retiro 
240.00,"2023-01-28 18:51:33",acrilico retoque 
320.00,"2023-01-28 18:53:28",mani basico
320.00,"2023-01-28 18:53:28",depilacion de bigote
320.00,"2023-01-28 18:53:28",depilacion de ceja
380.00,"2023-01-28 19:10:04",pedi basico
380.00,"2023-01-28 19:10:04",pedi basico
1368.00,"2023-01-31 14:35:31",acrilico retoque 
261.25,"2023-01-31 14:40:55",pedi basico
261.25,"2023-01-31 14:40:55",depilacion de ceja
649.00,"2023-01-31 14:44:29",acrilico manos
649.00,"2023-01-31 14:44:29",acrilicio escultural
351.50,"2023-01-31 14:48:42",gel en manos
351.50,"2023-01-31 14:48:42",calcio en pies 
100.00,"2023-01-31 14:49:11",calcio retoque en manos 
369.55,"2023-01-31 15:56:49",gel en pies
369.55,"2023-01-31 15:56:49",pedi basico
620.00,"2023-01-31 15:58:08",pedi exfo
190.00,"2023-01-31 16:21:46",pedi basico
300.00,"2023-01-31 16:52:54",gel en manos
300.00,"2023-01-31 16:52:54",mani limpieza
427.50,"2023-01-31 18:29:12",acrilico manos
427.50,"2023-01-31 18:29:12",pedi basico
869.00,"2023-01-31 18:29:58",acrilico manos
869.00,"2023-01-31 18:29:58",acrilico de color
869.00,"2023-01-31 18:29:58",acrilicio escultural
869.00,"2023-01-31 18:29:58",pedi basico
180.50,"2023-01-31 18:30:52",gel en manos
190.00,"2023-01-31 18:31:29",gel en manos
180.00,"2023-02-01 10:19:57",mani basico
180.00,"2023-02-01 10:19:57",mani exfo
190.00,"2023-02-01 12:25:11",gel en manos
858.00,"2023-02-01 12:26:48",pedi exfo
858.00,"2023-02-01 12:26:48",pedi exfo
408.50,"2023-02-01 13:17:06",acrilico retoque 
408.50,"2023-02-01 13:17:06",gel en manos
180.00,"2023-02-01 13:17:31",calcio en manos 
569.00,"2023-02-01 13:50:07",gel en pies
569.00,"2023-02-01 13:50:07",pedi basico
569.00,"2023-02-01 13:50:07",acrilico retoque 
816.05,"2023-02-01 15:44:05",acrilico manos
816.05,"2023-02-01 15:44:05",acrilicio escultural
816.05,"2023-02-01 15:44:05",pedi basico
180.50,"2023-02-01 15:46:48",gel en manos
240.00,"2023-02-01 17:22:34",pedi basico
240.00,"2023-02-01 17:22:34",Gel retiro 
743.00,"2023-02-01 18:50:48",acrilico manos
743.00,"2023-02-01 18:50:48",mani dif lujo
743.00,"2023-02-01 18:50:48",pedi express
432.25,"2023-02-01 19:00:11",pedi basico
432.25,"2023-02-01 19:00:11",pedi basico
616.55,"2023-02-02 14:29:53",acrilico manos
616.55,"2023-02-02 14:29:53",mani limpieza
1461.10,"2023-02-02 15:02:25",acrilico manos
1461.10,"2023-02-02 15:02:25",pedi basico
1461.10,"2023-02-02 15:02:25",pedi dif lujo
509.00,"2023-02-02 16:00:17",acrilico retoque 
330.00,"2023-02-02 16:05:21",calcio en manos 
330.00,"2023-02-02 16:05:21",mani basico
475.00,"2023-02-02 16:06:17",calcio retoque en manos 
475.00,"2023-02-02 16:06:17",depilacion de bigote
189.05,"2023-02-02 16:24:46",gel en pies
578.55,"2023-02-02 16:27:16",acrilico manos
479.00,"2023-02-02 16:28:16",acrilicio escultural
470.00,"2023-02-02 16:29:07",acrilico manos
470.00,"2023-02-02 16:29:07",acrilico de color
409.00,"2023-02-02 16:30:08",acrilico uña remplazo 
409.00,"2023-02-02 16:30:08",pedi limpieza
439.00,"2023-02-02 18:14:18", acrilico retiro 
669.00,"2023-02-02 18:18:37",acrilico retoque 
669.00,"2023-02-02 18:18:37",pedi basico
790.00,"2023-02-02 18:56:45",calcio retoque en manos 
370.00,"2023-02-02 18:58:34",acrilico retoque 
370.00,"2023-02-02 18:58:34",gel en manos
190.00,"2023-02-02 19:00:18",gel en manos
859.00,"2023-02-02 19:06:50",pedi basico
859.00,"2023-02-02 19:06:50", acrilico retiro 
859.00,"2023-02-02 19:06:50",acrilico manos
180.00,"2023-02-03 10:14:32",calcio en manos 
280.00,"2023-02-03 11:34:13",pedi de lujo
719.00,"2023-02-03 12:12:25",acrilico manos
719.00,"2023-02-03 12:12:25",acrilico de color
540.55,"2023-02-03 12:35:47",acrilico retoque 
370.00,"2023-02-03 12:55:00",acrilico retoque 
370.00,"2023-02-03 12:55:00",gel en manos
450.00,"2023-02-03 13:44:57",acrilico manos
450.00,"2023-02-03 13:44:57",gel en manos
430.00,"2023-02-03 13:47:54",acrilico retoque 
430.00,"2023-02-03 13:47:54",gel en manos
329.00,"2023-02-03 14:02:31",Gel retiro 
329.00,"2023-02-03 14:02:31",calcio en manos 
329.00,"2023-02-03 14:02:31",pedi express
579.00,"2023-02-03 14:05:37",acrilico retoque 
675.00,"2023-02-03 14:39:34",depilacion de ceja
509.00,"2023-02-03 16:19:05", acrilico retiro 
620.00,"2023-02-03 16:40:14",acrilico de color
620.00,"2023-02-03 16:40:14",acrilico manos
130.00,"2023-02-03 17:18:32",Gel retiro 
130.00,"2023-02-03 17:18:32",mani express
440.00,"2023-02-03 17:23:50",acrilico retoque 
300.00,"2023-02-03 17:34:40", acrilico retiro 
300.00,"2023-02-03 17:34:40",gel en manos
190.00,"2023-02-03 17:45:27",pedi basico
417.05,"2023-02-03 19:07:55",pedi express
240.00,"2023-02-03 19:15:30",gel en manos
430.00,"2023-02-04 10:21:07",calcio en manos 
430.00,"2023-02-04 10:21:07",gel en manos
430.00,"2023-02-04 10:21:07",mani limpieza
650.00,"2023-02-04 10:44:32",mani exfo
650.00,"2023-02-04 10:44:32",pedi exfo
420.00,"2023-02-04 10:52:09",acrilico retoque 
420.00,"2023-02-04 10:52:09",acrilico uña remplazo 
420.00,"2023-02-04 10:52:09",gel en manos
370.00,"2023-02-04 12:26:43",calcio en manos 
370.00,"2023-02-04 12:26:43",gel en manos
2057.00,"2023-02-04 12:49:10",acrilico retoque 
2057.00,"2023-02-04 12:49:10",pedi basico
2057.00,"2023-02-04 12:49:10",acrilico manos
2057.00,"2023-02-04 12:49:10",pedi basico
2057.00,"2023-02-04 12:49:10", acrilico retiro 
290.00,"2023-02-04 13:40:09",calcio retoque en manos 
290.00,"2023-02-04 13:40:09",gel en manos
280.00,"2023-02-04 13:48:14",pedi de lujo
1229.00,"2023-02-04 14:40:37",pedi de lujo
1229.00,"2023-02-04 14:40:37",pedi basico
1229.00,"2023-02-04 14:40:37",acrilico manos
190.00,"2023-02-04 15:31:06",pedi basico
150.00,"2023-02-04 15:34:35",mani basico
190.00,"2023-02-04 15:35:22",pedi basico
474.00,"2023-02-04 15:45:06",pedi basico
474.00,"2023-02-04 15:45:06",gel en pies
474.00,"2023-02-04 15:45:06",depilacion de ceja
200.00,"2023-02-04 16:20:29",calcio retoque en manos 
200.00,"2023-02-04 16:20:29",calcio retoque en manos 
1158.00,"2023-02-04 17:15:05",pedi basico
1158.00,"2023-02-04 17:15:05",pedi basico
1158.00,"2023-02-04 17:15:05",acrilico retoque 
80.00,"2023-02-04 17:26:21",mani express
609.00,"2023-02-04 17:29:25",acrilico retoque 
190.00,"2023-02-04 18:00:34",pedi basico
897.00,"2023-02-04 18:46:45",pedi express
465.50,"2023-02-04 18:49:00",pedi basico
323.00,"2023-02-07 11:51:13",Gel retiro 
150.00,"2023-02-07 13:56:55",mani basico
190.00,"2023-02-07 14:07:03",pedi basico
950.00,"2023-02-07 14:11:12",acrilico manos
479.00,"2023-02-07 14:26:02",acrilico retoque 
910.10,"2023-02-07 14:57:51",gel en pies
910.10,"2023-02-07 14:57:51",pedi de lujo
910.10,"2023-02-07 14:57:51",gel en pies
910.10,"2023-02-07 14:57:51",pedi de lujo
729.00,"2023-02-07 16:29:02",mani limpieza
845.50,"2023-02-07 17:06:36",calcio en manos 
845.50,"2023-02-07 17:06:36",pedi dif lujo
509.00,"2023-02-07 17:21:56",acrilicio escultural
249.00,"2023-02-07 17:47:25",gel en pies
569.00,"2023-02-07 18:06:51",acrilico retoque 
569.00,"2023-02-07 18:06:51",mani limpieza
278.00,"2023-02-07 18:29:21",gel en manos
731.50,"2023-02-07 18:48:47",acrilico retoque 
560.00,"2023-02-08 10:38:41",pedi de lujo
560.00,"2023-02-08 10:38:41",pedi de lujo
389.00,"2023-02-08 10:48:19",pedi basico
389.00,"2023-02-08 10:48:19",gel en pies
190.00,"2023-02-08 12:58:38",pedi basico
199.00,"2023-02-08 13:14:04",calcio retoque en manos 
199.00,"2023-02-08 13:14:04",pedi express
237.50,"2023-02-08 15:30:03",gel en manos
237.50,"2023-02-08 15:30:03",mani limpieza
379.00,"2023-02-08 16:03:13",gel en pies
379.00,"2023-02-08 16:03:13",calcio en manos 
908.00,"2023-02-08 17:36:57",acrilico retoque 
340.00,"2023-02-08 18:38:58",Gel retiro 
1053.55,"2023-02-08 18:50:11",acrilico manos
1053.55,"2023-02-08 18:50:11",acrilico de color
1053.55,"2023-02-08 18:50:11",pedi basico
100.00,"2023-02-08 18:51:29",Gel retiro 
100.00,"2023-02-08 18:51:29",Gel retiro 
409.00,"2023-02-08 18:57:02",pedi basico
409.00,"2023-02-08 18:57:02",gel en pies
150.00,"2023-02-09 10:28:16",calcio retoque en manos 
484.50,"2023-02-09 11:04:10", acrilico retiro 
484.50,"2023-02-09 11:04:10",calcio en manos 
484.50,"2023-02-09 11:04:10",gel en manos
493.05,"2023-02-09 11:15:21",calcio retoque en manos 
493.05,"2023-02-09 11:15:21",pedi dif lujo
200.00,"2023-02-09 13:44:11",Gel retiro 
200.00,"2023-02-09 13:44:11",mani basico
483.55,"2023-02-09 13:46:28",acrilico retoque 
1650.15,"2023-02-09 13:50:39",gel en pies
1650.15,"2023-02-09 13:50:39",acrilico manos
1650.15,"2023-02-09 13:50:39",acrilicio escultural
1650.15,"2023-02-09 13:50:39",pedi de lujo
351.50,"2023-02-09 13:51:47",acrilico retoque 
351.50,"2023-02-09 13:51:47",gel en manos
304.00,"2023-02-09 14:07:45",mani exfo
389.00,"2023-02-09 14:19:40",pedi basico
389.00,"2023-02-09 14:19:40",gel en pies
190.00,"2023-02-09 14:30:13",gel en manos
150.00,"2023-02-09 16:58:43",calcio retoque en manos 
450.00,"2023-02-09 17:02:36",pedi basico
450.00,"2023-02-09 17:02:36",acrilico retoque 
450.00,"2023-02-09 17:02:36",mani express
509.00,"2023-02-09 17:26:34",pedi basico
99.00,"2023-02-09 17:38:07",pedi express
350.00,"2023-02-09 18:09:45",mani limpieza
350.00,"2023-02-09 18:09:45",calcio retoque en manos 
350.00,"2023-02-09 18:09:45",pedi basico
900.60,"2023-02-09 18:43:59",acrilico manos
900.60,"2023-02-09 18:43:59",gel en pies
190.00,"2023-02-09 19:05:29",gel en manos
370.00,"2023-02-09 19:10:57",acrilico retoque 
370.00,"2023-02-09 19:10:57",gel en manos
419.00,"2023-02-10 12:10:30",pedi limpieza
419.00,"2023-02-10 12:10:30",mani limpieza
299.00,"2023-02-10 10:40:33",Gel retiro 
299.00,"2023-02-10 10:40:33",mani basico
299.00,"2023-02-10 10:40:33",pedi express
200.00,"2023-02-10 11:33:01",mani basico
200.00,"2023-02-10 11:33:01",Gel retiro 
240.00,"2023-02-10 11:42:38",acrilico uña remplazo 
240.00,"2023-02-10 11:42:38",gel en manos
649.00,"2023-02-10 12:05:02",parafina en manos
649.00,"2023-02-10 12:05:02",parafina en pies 
410.00,"2023-02-10 14:53:11",mani exfo
410.00,"2023-02-10 14:53:11",pedi dif lujo
470.00,"2023-02-10 14:55:41",calcio en manos 
190.00,"2023-02-10 14:56:48",pedi basico
150.00,"2023-02-10 14:57:27",mani basico
489.00,"2023-02-10 17:00:31",pedi basico
340.00,"2023-02-10 17:02:59",Gel retiro 
228.00,"2023-02-10 17:05:34",Gel retiro 
228.00,"2023-02-10 17:05:34",pedi basico
190.00,"2023-02-10 17:05:58",pedi basico
869.00,"2023-02-10 17:07:26",gel en manos
869.00,"2023-02-10 17:07:26",mani de lujo
110.00,"2023-02-10 17:07:56", acrilico retiro 
750.00,"2023-02-10 17:38:56",mani dif lujo
750.00,"2023-02-10 17:38:56",pedi dif lujo
626.05,"2023-02-10 18:47:48",gel en manos
626.05,"2023-02-10 18:47:48",mani express
626.05,"2023-02-10 18:47:48",pedi basico
626.05,"2023-02-10 18:47:48",gel en pies
361.00,"2023-02-10 19:09:15",mani basico
779.00,"2023-02-11 11:13:26",pedi dif lujo
779.00,"2023-02-11 11:13:26",pedi de lujo
779.00,"2023-02-11 11:13:26",mani express
100.00,"2023-02-11 12:03:09",calcio retoque en manos 
340.00,"2023-02-11 12:04:14",depilacion de axila
340.00,"2023-02-11 12:04:14",depilacion de media pierna
320.00,"2023-02-11 12:46:36",acrilico manos
320.00,"2023-02-11 12:46:36",acrilico de color
380.00,"2023-02-11 12:47:27",pedi basico
380.00,"2023-02-11 12:47:27",pedi basico
432.00,"2023-02-11 12:49:34", acrilico retiro 
432.00,"2023-02-11 12:49:34",Gel retiro 
432.00,"2023-02-11 12:49:34",gel en manos
361.00,"2023-02-11 13:43:27",pedi basico
361.00,"2023-02-11 13:43:27",pedi basico
150.00,"2023-02-11 13:46:57",mani basico
275.50,"2023-02-11 14:10:01",gel en manos
889.00,"2023-02-11 14:51:26",calcio retoque en pies 
889.00,"2023-02-11 14:51:26",calcio retoque en manos 
580.00,"2023-02-11 15:02:39",acrilico manos
580.00,"2023-02-11 15:02:39",acrilico de color
580.00,"2023-02-11 15:02:39",mani limpieza
209.00,"2023-02-11 15:56:25",calcio en manos 
409.00,"2023-02-11 15:57:29",pedi exfo
313.50,"2023-02-11 16:10:57",mani basico
313.50,"2023-02-11 16:10:57",calcio en manos 
960.00,"2023-02-11 16:40:51",acrilico manos
960.00,"2023-02-11 16:40:51",acrilico de color
960.00,"2023-02-11 16:40:51",acrilicio escultural
960.00,"2023-02-11 16:40:51",pedi basico
960.00,"2023-02-11 16:40:51",pedi basico
270.00,"2023-02-11 17:03:25",gel en manos
579.00,"2023-02-11 18:01:53",calcio en manos 
610.00,"2023-02-11 18:14:50",acrilico retoque 
610.00,"2023-02-11 18:14:50",gel en manos
610.00,"2023-02-11 18:14:50",gel en manos
370.50,"2023-02-11 18:32:29",calcio retoque en manos 
740.00,"2023-02-11 18:39:19",mani basico
190.00,"2023-02-11 18:47:34",gel en manos
60.00,"2023-02-14 11:38:25",mani limpieza
390.00,"2023-02-14 12:44:50",calcio retoque en manos 
340.00,"2023-02-14 13:25:45",calcio retoque en manos 
340.00,"2023-02-14 13:25:45",gel en manos
340.00,"2023-02-14 13:25:45",Gel retiro 
690.00,"2023-02-14 13:39:01",acrilico uña remplazo 
690.00,"2023-02-14 13:39:01",acrilico uña remplazo 
460.75,"2023-02-14 14:51:47",mani de lujo
460.75,"2023-02-14 14:51:47",gel en manos
460.75,"2023-02-14 14:51:47",acrilico uña remplazo 
200.00,"2023-02-14 15:32:05",Gel retiro 
200.00,"2023-02-14 15:32:05",mani basico
579.00,"2023-02-14 16:30:24",pedi de lujo
320.00,"2023-02-14 16:32:43",acrilico manos
320.00,"2023-02-14 16:32:43",acrilico de color
190.00,"2023-02-14 18:57:45",pedi basico
389.00,"2023-02-14 19:16:05",gel en pies
389.00,"2023-02-14 19:16:05",pedi basico
289.00,"2023-02-15 10:51:28",gel en manos
289.00,"2023-02-15 10:51:28",pedi express
858.00,"2023-02-15 13:59:29",pedi exfo
858.00,"2023-02-15 13:59:29",pedi exfo
190.00,"2023-02-15 14:27:32",gel en manos
450.00,"2023-02-15 15:51:10",acrilico manos
450.00,"2023-02-15 15:51:10",pedi basico
654.00,"2023-02-15 16:12:57",calcio en manos 
560.00,"2023-02-15 16:18:53",pedi de lujo
560.00,"2023-02-15 16:18:53",pedi de lujo
731.50,"2023-02-15 18:18:43",acrilico retoque 
735.00,"2023-02-15 18:26:14", acrilico retiro 
735.00,"2023-02-15 18:26:14",acrilico manos
735.00,"2023-02-15 18:26:14",acrilico de color
735.00,"2023-02-15 18:26:14",pedi basico
735.00,"2023-02-15 18:26:14",pedi exfo
735.00,"2023-02-15 18:26:14",depilacion de ceja
150.00,"2023-02-15 18:26:58",mani basico
579.00,"2023-02-15 18:52:24",pedi de lujo
180.50,"2023-02-15 18:59:21",pedi basico
554.00,"2023-02-15 19:16:11",depilacion de ceja
365.00,"2023-02-16 11:36:18",depilacion de ceja
500.00,"2023-02-16 11:39:10",mani basico
500.00,"2023-02-16 11:39:10",calcio en manos 
500.00,"2023-02-16 11:39:10",depilacion de ceja
500.00,"2023-02-16 11:39:10",depilacion de bigote
758.55,"2023-02-16 12:07:48",pedi basico
758.55,"2023-02-16 12:07:48",pedi basico
758.55,"2023-02-16 12:07:48",gel en pies
758.55,"2023-02-16 12:07:48",gel en pies
3390.00,"2023-02-16 15:16:14",gel en manos
760.00,"2023-02-16 18:06:39",acrilico manos
760.00,"2023-02-16 18:06:39",acrilico de color
760.00,"2023-02-16 18:06:39",calcio retoque en manos 
370.00,"2023-02-16 18:28:35",acrilico retoque 
370.00,"2023-02-16 18:28:35",gel en manos
690.00,"2023-02-16 18:30:44",mani de lujo
690.00,"2023-02-16 18:30:44",pedi de lujo
690.00,"2023-02-16 18:30:44",gel en manos
389.00,"2023-02-17 10:41:25",gel en pies
389.00,"2023-02-17 10:41:25",pedi basico
180.50,"2023-02-17 11:02:17",pedi basico
300.00,"2023-02-17 12:38:46", acrilico retiro 
300.00,"2023-02-17 12:38:46",gel en manos
190.00,"2023-02-17 12:43:40",pedi basico
331.55,"2023-02-17 13:31:55",gel en manos
331.55,"2023-02-17 13:31:55",mani limpieza
331.55,"2023-02-17 13:31:55",pedi express
370.00,"2023-02-17 15:45:13",acrilico retoque 
370.00,"2023-02-17 15:45:13",gel en manos
929.10,"2023-02-17 16:04:07",calcio en manos 
929.10,"2023-02-17 16:04:07", acrilico retiro 
929.10,"2023-02-17 16:04:07",gel en pies
749.00,"2023-02-17 16:15:52",acrilico manos
749.00,"2023-02-17 16:15:52",pedi basico
475.00,"2023-02-17 16:33:28",acrilico retoque 
475.00,"2023-02-17 16:33:28",gel en manos
475.00,"2023-02-17 16:33:28",acrilico uña remplazo 
150.00,"2023-02-17 17:47:20",mani basico
230.00,"2023-02-17 17:48:51",gel en manos
171.00,"2023-02-17 17:53:55",mani basico
171.00,"2023-02-17 17:53:55",mani exfo
531.05,"2023-02-17 18:57:20",mani dif lujo
770.00,"2023-02-18 10:52:09",calcio en manos 
489.00,"2023-02-18 10:55:41",pedi basico
370.00,"2023-02-18 10:59:40",acrilico retoque 
370.00,"2023-02-18 10:59:40",gel en manos
240.00,"2023-02-18 12:34:00",mani de niña
240.00,"2023-02-18 12:34:00",mani de niña
240.00,"2023-02-18 12:34:00",pedi de niña
240.00,"2023-02-18 12:34:00",pedi de niña
369.00,"2023-02-18 13:26:46",acrilico uña remplazo 
266.00,"2023-02-18 13:50:30",pedi de lujo
455.05,"2023-02-18 14:01:52",pedi de lujo
455.05,"2023-02-18 14:01:52",gel en pies
730.00,"2023-02-18 15:50:17",mani basico
494.00,"2023-02-18 16:00:57",acrilico retoque 
494.00,"2023-02-18 16:00:57",gel en manos
579.00,"2023-02-18 16:29:59",acrilico retoque 
240.00,"2023-02-18 16:31:51",Gel retiro 
240.00,"2023-02-18 16:31:51",pedi basico
660.00,"2023-02-18 17:26:57",acrilico manos
660.00,"2023-02-18 17:26:57",acrilico de color
660.00,"2023-02-18 17:26:57",acrilicio escultural
1278.00,"2023-02-18 17:47:13",Gel retiro 
1278.00,"2023-02-18 17:47:13",pedi basico
1278.00,"2023-02-18 17:47:13",pedi basico
180.00,"2023-02-18 18:08:11",calcio en manos 
230.00,"2023-02-18 18:41:14",calcio en manos 
455.05,"2023-02-21 11:30:04",gel en pies
455.05,"2023-02-21 11:30:04",pedi de lujo
361.00,"2023-02-21 11:30:49",acrilico retoque 
180.50,"2023-02-21 12:29:09",pedi basico
389.00,"2023-02-21 13:53:34",mani limpieza
1343.00,"2023-02-21 14:44:31", acrilico retiro 
1343.00,"2023-02-21 14:44:31",acrilico manos
1343.00,"2023-02-21 14:44:31",depilacion de ceja
1343.00,"2023-02-21 14:44:31",gel en pies
1343.00,"2023-02-21 14:44:31",pedi basico
958.00,"2023-02-21 15:43:54",pedi de lujo
958.00,"2023-02-21 15:43:54",pedi de lujo
958.00,"2023-02-21 15:43:54",gel en pies
958.00,"2023-02-21 15:43:54",gel en pies
427.50,"2023-02-21 16:10:09",calcio extension en manos 
427.50,"2023-02-21 16:10:09",gel en manos
280.00,"2023-02-21 17:13:10", acrilico retiro 
280.00,"2023-02-21 17:13:10",Gel retiro 
180.50,"2023-02-21 17:16:37",pedi basico
130.00,"2023-02-21 17:35:54",Gel retiro 
130.00,"2023-02-21 17:35:54",mani express
220.00,"2023-02-22 11:50:10",pedi basico
220.00,"2023-02-22 11:50:10",pedi exfo
599.00,"2023-02-22 11:52:15", acrilico retiro 
599.00,"2023-02-22 11:52:15",pedi basico
323.00,"2023-02-22 13:34:14",Gel retiro 
669.00,"2023-02-22 13:35:23",pedi basico
669.00,"2023-02-22 13:35:23",acrilico retoque 
969.00,"2023-02-22 13:37:03",acrilico manos
969.00,"2023-02-22 13:37:03",acrilico uña remplazo 
969.00,"2023-02-22 13:37:03",acrilico uña remplazo 
969.00,"2023-02-22 13:37:03",pedi basico
969.00,"2023-02-22 13:37:03",mani limpieza
480.00,"2023-02-22 13:39:39",pedi dif lujo
480.00,"2023-02-22 13:39:39",parafina en manos
450.00,"2023-02-22 13:41:54",mani basico
627.95,"2023-02-22 14:09:24",acrilico manos
627.95,"2023-02-22 14:09:24",Gel retiro 
616.55,"2023-02-22 14:31:24",acrilico manos
616.55,"2023-02-22 14:31:24",acrilico de color
389.00,"2023-02-22 16:38:02",pedi basico
389.00,"2023-02-22 16:38:02",gel en pies
809.00,"2023-02-22 17:13:43",acrilico manos
809.00,"2023-02-22 17:13:43",acrilico de color
190.00,"2023-02-22 17:14:40",pedi basico
579.00,"2023-02-22 18:01:25",acrilico retoque 
190.00,"2023-02-22 18:04:22",gel en manos
420.00,"2023-02-22 18:31:02",gel en manos
420.00,"2023-02-22 18:31:02",depilacion de bigote
420.00,"2023-02-22 18:31:02",depilacion de ceja
150.00,"2023-02-22 18:41:11",mani basico
690.00,"2023-02-22 19:27:15",calcio retoque en manos 
855.00,"2023-02-23 12:50:27",acrilico retoque 
855.00,"2023-02-23 12:50:27",depilacion de ceja
649.00,"2023-02-23 13:12:27",acrilico manos
649.00,"2023-02-23 13:12:27",pedi basico
649.00,"2023-02-23 13:12:27",gel en pies
190.00,"2023-02-23 13:18:35",gel en manos
85.00,"2023-02-23 13:19:36",depilacion de ceja
549.00,"2023-02-23 13:22:43",acrilico uña remplazo 
549.00,"2023-02-23 13:22:43",acrilico uña remplazo 
549.00,"2023-02-23 13:22:43",acrilico uña remplazo 
809.00,"2023-02-23 13:40:52",pedi basico
809.00,"2023-02-23 13:40:52",pedi basico
809.00,"2023-02-23 13:40:52",acrilico uña remplazo 
809.00,"2023-02-23 13:40:52",acrilico uña remplazo 
669.00,"2023-02-23 13:46:48",acrilico retoque 
669.00,"2023-02-23 13:46:48",pedi basico
370.50,"2023-02-23 14:34:34",calcio retoque en manos 
850.00,"2023-02-23 16:38:31",acrilico manos
245.00,"2023-02-23 17:32:16",pedi basico
620.00,"2023-02-23 17:33:25",pedi exfo
410.00,"2023-02-23 17:53:28",acrilico retoque 
100.00,"2023-02-23 18:08:37",calcio retoque en manos 
380.00,"2023-02-23 18:35:19",pedi basico
380.00,"2023-02-23 18:35:19",pedi basico
369.55,"2023-02-23 18:52:28",pedi basico
369.55,"2023-02-23 18:52:28",gel en pies
470.00,"2023-02-24 10:45:12",calcio en manos 
190.00,"2023-02-24 11:07:00",gel en manos
260.00,"2023-02-24 12:28:39",acrilico manos
360.00,"2023-02-24 12:29:17",calcio en manos 
360.00,"2023-02-24 12:29:17",calcio en manos 
370.00,"2023-02-24 12:29:54",calcio en manos 
370.00,"2023-02-24 12:29:54",pedi basico
689.00,"2023-02-24 16:45:42", acrilico retiro 
689.00,"2023-02-24 16:45:42",calcio en manos 
419.00,"2023-02-24 16:46:38",pedi basico
419.00,"2023-02-24 16:46:38",gel en pies
189.05,"2023-02-24 17:00:23",gel en pies
485.45,"2023-02-24 17:42:44",pedi basico
485.45,"2023-02-24 17:42:44",gel en pies
485.45,"2023-02-24 17:42:44",acrilico uña remplazo 
485.45,"2023-02-24 17:42:44",acrilico uña remplazo 
549.00,"2023-02-24 17:56:18",mani basico
171.00,"2023-02-24 17:57:15",calcio en manos 
759.00,"2023-02-24 18:37:00",pedi basico
759.00,"2023-02-24 18:37:00",Gel retiro 
779.00,"2023-02-24 18:41:44",pedi basico
779.00,"2023-02-24 18:41:44",acrilico manos
323.00,"2023-02-24 18:58:30", acrilico retiro 
305.00,"2023-02-25 10:42:06",plancahdo de ceja
305.00,"2023-02-25 10:42:06",depilacion de ceja
228.00,"2023-02-25 11:54:17",pedi basico
228.00,"2023-02-25 11:54:17",acrilico uña remplazo 
635.55,"2023-02-25 11:55:25",acrilico retoque 
635.55,"2023-02-25 11:55:25",pedi basico
1548.00,"2023-02-25 12:47:08",acrilico retoque 
1548.00,"2023-02-25 12:47:08",pedi basico
1548.00,"2023-02-25 12:47:08",gel en pies
1548.00,"2023-02-25 12:47:08",acrilico retoque 
1548.00,"2023-02-25 12:47:08",acrilico uña remplazo 
1548.00,"2023-02-25 12:47:08",acrilico uña remplazo 
1548.00,"2023-02-25 12:47:08",acrilico retoque 
1548.00,"2023-02-25 12:47:08",gel en manos
489.00,"2023-02-25 13:53:07",pedi basico
560.00,"2023-02-25 13:54:19",calcio en manos 
560.00,"2023-02-25 13:54:19",pedi dif lujo
290.00,"2023-02-25 15:33:23",calcio retoque en manos 
290.00,"2023-02-25 15:33:23",gel en manos
430.00,"2023-02-25 16:25:28",acrilico retoque 
430.00,"2023-02-25 16:25:28",gel en manos
395.00,"2023-02-25 16:29:30",acrilico retoque 
395.00,"2023-02-25 16:29:30",gel en manos
440.00,"2023-02-25 16:30:10",acrilico retoque 
440.00,"2023-02-25 16:30:10",gel en manos
237.50,"2023-02-25 16:31:21",calcio retoque en manos 
237.50,"2023-02-25 16:31:21",mani basico
100.00,"2023-02-25 16:55:48",calcio retoque en manos 
380.00,"2023-02-25 17:24:32",acrilico manos
380.00,"2023-02-25 17:24:32",acrilico de color
380.00,"2023-02-25 17:24:32",acrilicio escultural
773.22,"2023-02-25 17:41:53",acrilico uña remplazo 
773.22,"2023-02-25 17:41:53",acrilico uña remplazo 
773.22,"2023-02-25 17:41:53",mani limpieza
817.00,"2023-02-25 18:15:03",calcio en manos 
817.00,"2023-02-25 18:15:03",pedi dif lujo
190.00,"2023-02-25 18:33:49",gel en manos
180.50,"2023-02-25 18:34:27",gel en manos
429.00,"2023-02-25 18:46:05",mani exfo
300.00,"2023-02-25 19:06:56", acrilico retiro 
300.00,"2023-02-25 19:06:56",gel en manos
189.05,"2023-02-28 09:54:26",gel en pies
490.00,"2023-02-28 10:38:36",calcio retoque en manos 
490.00,"2023-02-28 10:38:36",calcio retoque en manos 
190.00,"2023-02-28 10:56:22",gel en manos
335.00,"2023-02-28 12:01:29",depilacion de bikini
335.00,"2023-02-28 12:01:29",depilacion de ceja
589.00,"2023-02-28 12:28:59",depilacion de bigote
589.00,"2023-02-28 12:28:59",depilacion de ceja
